Course_Code,Course_Title,finalPoints2021,finalPoints2020,finalPoints2019
CK207,Commerce (International) with Italian,,388.0,408.0
CK208,Commerce (International) with Hispanic Studies,,402.0,431.0
CK209,Commerce (International) with Irish,,484.0,509.0
CK211,Commerce (International) with Chinese Studies,,397.0,398.0
CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),,444.0,400.0
CK213,Food Marketing and Entrepreneurship,,462.0,
CK214,International Development,,346.0,
CK301,Law (Pathways) -  3 or 4 years,,499.0,476.0
CK302,Law and French,,542.0,453.0
CK304,Law and Irish,,540.0,462.0
CK307,Law and Business,,556.0,522.0
CK401,Computer Science,,468.0,402.0
CK402,Biological and Chemical Sciences,,509.0,498.0
CK404,"Biological, Earth and Environmental Sciences",,467.0,412.0
CK405,Genetics,,487.0,476.0
CK406,Chemical Sciences,,472.0,457.0
CK407,Mathematical Sciences,,565.0,531.0
CK408,Physics and Astrophysics,,542.0,511.0
CK409,Industrial Physics - Offered jointly by UCC and CI,,432.0,413.0
CK411,Data Science and Analytics,,510.0,509.0
CK412,Agricultural Science,,496.0,457.0
CK502,Food Marketing and Entrepreneurship,,,433.0
CK504,Nutritional Sciences,,518.0,492.0
CK505,Food Science,,440.0,444.0
CK506,International Development and Food Policy,,,367.0
CK600,Engineering,,487.0,465.0
CK606,Architecture - Offered jointly by UCC and CIT,,476.0,465.0
CK701,Medicine (Undergraduate Entry - HPAT required),,731.0,
CK702,Dentistry,,613.0,590.0
CK703,Pharmacy,,589.0,577.0
CK704,Occupational Therapy,,555.0,
CK705,Speech and Language Therapy,,520.0,509.0
CK706,Public Health Sciences,,454.0,419.0
CK707,Medical and Health Sciences,,541.0,
CK710,General Nursing,,454.0,440.0
CK712,Children`s and General Nursing (Integrated),,533.0,499.0
CK720,Mental Health Nursing,,423.0,398.0
CK730,Intellectual Disability Nursing,,411.0,359.0
CK740,Midwifery,,484.0,444.0
CK791,Medicine  - Graduate Entry (GAMSAT required),,57.0,
CM001,Education - Primary Teaching,,484.0,
CM002,Education - Primary Teaching - Gaeltacht Applicants,,,
CM003,Oideachas â€“ BunmhÃºinteoireacht TrÃ­ MheÃ¡n na Gaeilg,,528.0,
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,,494.0,
CM010,Education Studies,,319.0,317.0
CM020,Early Childhood Education,,327.0,336.0
CR001,Applied Physics and Instrumentation,,250.0,
CR006,Applied Biosciences,,361.0,
CR007,Analytical and Pharmaceutical Chemistry,,240.0,
CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),,321.0,
CR016,Software Development,,307.0,
CR021,Business (Common Entry),,255.0,
CR022,Business Administration,,190.0,
CR031,Social Care Work,,346.0,
CR032,Recreation and Leisure Management,,298.0,
CR035,Community Development,,100.0,
CR041,Tourism Management,,216.0,
CR042,Hospitality Management,,208.0,
CR046,Automotive Technology and Management,,216.0,
CR051,Civil Engineering,,248.0,
CR052,Construction,,251.0,
CR053,Interior Architecture,,308.0,
CR055,Environmental Engineering,,258.0,
CR061,Electronic Engineering,,260.0,
CR062,Electrical Engineering,,300.0,
CR071,Mechanical Engineering,,261.0,
CR075,Biomedical Engineering,,306.0,
CR090,Architectural Technology,,266.0,
CR094,Nautical Science at National Maritime College of Ireland,,243.0,
CR095,Marine Engineering at National Maritime College of Ireland,,255.0,
CR105,Chemical and Biopharmaceutical Engineering,,443.0,432.0
CR106,Software Development,,411.0,351.0
CR108,Mechanical Engineering,,434.0,425.0
CR109,Structural Engineering,,394.0,341.0
CR110,Automotive Business Management and Technology,,311.0,318.0
CR112,Creative Digital Media at CIT Crawford College of,,361.0,335.0
CR116,Computer Systems,,332.0,318.0
CR121,Music at CIT Cork School of Music,,868.0,
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,,1088.0,
CR126,Popular Music: Drums at CIT Cork School of Music,,801.0,
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,,768.0,
CR128,Popular Music: Keyboards at CIT Cork School of Music,,840.0,
CR129,Popular Music: Voice at CIT Cork School of Music,,841.0,
CR130,Musical Theatre,,518.0,
CR150,Business Information Systems,,335.0,326.0
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",,,
CR220,Fine Art at CIT Crawford College of Art and Design,,,
CR225,Photography with New Media,,,
CR300,Physical Sciences (Common Entry),,282.0,
CR305,Physical Sciences (Common Entry),,282.0,279.0
CR310,IT Management,,297.0,282.0
CR320,Biomedical Science - Offered jointly by CIT and UC,,565.0,546.0
CR325,Pharmaceutical Biotechnology,,398.0,388.0
CR333,Nutrition and Health Science,,402.0,360.0
CR335,Biological Sciences (Common Entry),,420.0,381.0
CR340,Analytical Chemistry with Quality Assurance,,251.0,288.0
CR360,Instrument Engineering,,261.0,291.0
CR365,Environmental Science and Sustainable Technology,,253.0,334.0
CR370,Agri-Biosciences,,397.0,408.0
CR400,Accounting,,316.0,316.0
CR420,Marketing,,285.0,288.0
CR425,International Business with Language,,298.0,300.0
CR430,Sport and Exercise Management,,322.0,
CR435,Coaching Science and Sports Pedagogy,,,
CR440,Montessori Education,,288.0,
CR500,Engineering (Common Entry),,411.0,381.0
CR510,Sustainable Energy Engineering,,320.0,319.0
CR520,Biomedical Engineering,,444.0,434.0
CR560,Architectural Technology,,308.0,288.0
CR565,Interior Architecture,,359.0,336.0
CR570,Quantity Surveying,,336.0,279.0
CR572,Construction Management,,269.0,253.0
CR580,Electrical Engineering,,318.0,344.0
CR590,Electronic Engineering,,303.0,342.0
CR600,Visual Communications at CIT Crawford College of A,,,
CR620,Early Childhood Education and Care,,357.0,
CR640,Culinary Arts,,244.0,
CR650,Beverage Industry Management,,209.0,
CR655,Culinary Studies,,189.0,
CR657,Hospitality Studies,,163.0,
CR660,Tourism Management,,252.0,249.0
CR700,Theatre and Drama Studies at CIT Cork School of Music,,645.0,
CR805,Marine Electrotechnology at National Maritime College of Ireland,,235.0,
CR888,Information Technology,,290.0,
CR930,Home Economics and Business,,,
CT110,Computing in Information Technology,,210.0,
CT116,Information Technology,,219.0,
CT125,Information Technology,,220.0,235.0
CT325,Business,,338.0,
CW006,Business,,,
CW018,Business (options),,248.0,327.0
CW027,Sustainable Farm Management and Agribusiness,,266.0,
CW028,Early Childhood Education and Care,,252.0,252.0
CW037,Business (options),,195.0,
CW038,"Art (portfolio, Wexford)",,700.0,
CW047,Visual Communications and Design,,181.0,
CW057,Art (portfolio),,700.0,
CW058,Tourism and Event Management (Wexford),,298.0,252.0
CW068,Applied Social Studies in Professional Social Care,,245.0,251.0
CW077,Tourism and Event Management,,217.0,
CW078,Sustainable Farm Management and Agribusiness,,269.0,266.0
CW088,Visual Communications and Design,,274.0,309.0
CW106,Physiology and Health Science,,451.0,
CW107,Analytical Science,,277.0,
CW108,Science (options),,261.0,261.0
CW116,Pharmacy Technician Studies,,250.0,
CW117,Biosciences,,205.0,
CW126,Science - Applied Biology or Applied Chemistry,,191.0,
CW128,Brewing and Distilling,,263.0,271.0
CW138,Sport and Exercise Science,,423.0,
CW148,Strength and Conditioning,,379.0,
CW178,Sport Science (options),,,399.0
CW188,Sport Rehabilitation and Athletic Therapy,,448.0,454.0
CW206,Computing - Applications or Programming,,235.0,
CW207,Software Development,,244.0,
CW208,Computer Games Development,,279.0,281.0
CW217,Information Technology Management,,234.0,
CW227,Cybercrime and IT Security,,233.0,
CW237,Computing in Interactive Digital Art and Design,,212.0,
CW238,Software Development,,297.0,300.0
CW248,Information Technology Management,,285.0,307.0
CW258,Cybercrime and IT Security,,293.0,300.0
CW268,Computing in Interactive Digital Art and Design,,287.0,274.0
CW407,Architectural Technology,,188.0,
CW417,Construction Management with Building Services,,220.0,
CW427,Civil Engineering,,199.0,
CW438,Construction (options),,272.0,271.0
CW468,Architectural Technology,,262.0,252.0
CW478,Civil Engineering,,433.0,348.0
CW507,Aircraft Systems,,293.0,
CW517,Mechanical Engineering,,276.0,
CW527,Electronic Engineering,,227.0,
CW547,TV and Media Production,,301.0,
CW548,Mechanical Engineering,,321.0,310.0
CW558,Electronic Systems,,280.0,279.0
CW568,Aerospace Engineering,,380.0,366.0
CW578,TV and Media Production,,325.0,327.0
CW706,Legal Studies,,163.0,
CW707,Industrial Design,,207.0,
CW708,Law - LLB,,302.0,298.0
CW717,Professional Social Care Practice,,288.0,
CW728,Product Design Innovation,,252.0,286.0
CW748,Early Childhood Education and Care,,270.0,265.0
CW758,Professional Social Care Practice,,336.0,290.0
CW807,Sport Coaching and Business Management - GAA (portfolio),,700.0,
CW808,Media and Public Relations,,251.0,248.0
CW817,Sport Coaching and Business Management - Rugby (portfolio),,700.0,
CW827,Sport Coaching and Business Management - Soccer (portfolio),,700.0,
CW837,Digital Marketing with Analytics,,200.0,
CW848,Digital Marketing with Analytics,,254.0,279.0
CW858,"Sports Management and Coaching (options, portfolio)",,700.0,
CW906,Business,,177.0,
CW908,Business (options),,280.0,260.0
CW917,Business (options),,224.0,
CW926,Business with Law,,210.0,
CW936,Accounting,,231.0,
CW938,Business with Law,,283.0,270.0
CW948,Accounting,,300.0,301.0
DB500,Computing,,218.0,242.0
DB501,Computing (Cloud Computing),,227.0,326.0
DB502,Computing (Data Analytics and Big Data),,341.0,269.0
DB503,Computing (Software Development),,225.0,242.0
DB504,Computing (Web and Mobile Technology),,,227.0
DB510,Audio Production and Music Project Management,,223.0,233.0
DB512,Business Studies,,203.0,229.0
DB514,Business Studies (Law),,252.0,269.0
DB515,Business Studies (Human Resource Management),,244.0,225.0
DB516,Financial Services,,,328.0
DB517,Marketing (Event Management),,238.0,226.0
DB518,Marketing (Digital Media),,,210.0
DB521,Accounting and Finance,,195.0,225.0
DB524,Business Information Systems,,309.0,402.0
DB525,Marketing (Digital Media and Cloud Computing),,,284.0
DB526,Business Information Systems (Cloud Computing),,347.0,253.0
DB527,Applied Social Care,,234.0,235.0
DB528,Applied Social Care,,,
DB531,Marketing,,293.0,220.0
DB534,Sound Engineering and Music Production,,,
DB562,Psychology,,229.0,208.0
DB563,Arts,,161.0,
DB566,Social Science,,220.0,216.0
DB567,Film and Creative Media,,202.0,192.0
DB568,Law,,219.0,245.0
DB569,Business (Psychology),,252.0,279.0
DB571,Business Studies,,173.0,
DB572,Business in Accounting,,117.0,
DB573,Business in Marketing,,117.0,
DB574,Business in Information Technology,,136.0,
DB576,Film and Creative Media,,,
DC001,Education - Early Childhood Education,,440.0,398.0
DC002,Education - Primary Teaching,,488.0,
DC003,Education - Primary Teaching - Gaeltacht Applicants,,445.0,
DC004,Education - Primary Teaching (Church of Ireland Ce,,409.0,
DC005,Education - Primary Teaching - Irish Sign Language,,,
DC009,Arts (Joint Honours) - Humanities,,376.0,347.0
DC010,Post Primary Teacher Education - Religious Educati,,429.0,386.0
DC011,Post Primary Teacher Education - Religious Education and History,,391.0,352.0
DC012,Post Primary Teacher Education - Religious Education and Music,,378.0,
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,,419.0,410.0
DC014,BA in Jazz and Contemporary Music Performance (aud,,419.0,
DC110,Business Studies International,,465.0,440.0
DC111,Business Studies,,488.0,463.0
DC112,Global Business (Franc,,510.0,495.0
DC113,Global Business (Germany),,462.0,440.0
DC114,Global Business (Spain),,522.0,501.0
DC115,Accounting and Finance,,510.0,487.0
DC116,Global Business (USA),,579.0,578.0
DC117,Aviation Management / Aviation Management with Pilot Studies,,475.0,463.0
DC118,Gnó agus Gaeilge / Business and Irish,,359.0,357.0
DC119,Global Business (Canada),,564.0,566.0
DC120,Enterprise Computing,,357.0,350.0
DC121,Computer Applications,,400.0,370.0
DC123,Data Science,,465.0,467.0
DC126,Actuarial Mathematics,,560.0,520.0
DC127,Common Entry into Actuarial and Financial Mathematics,,520.0,509.0
DC131,Communication Studies,,402.0,400.0
DC132,Journalism,,422.0,401.0
DC133,Multimedia,,410.0,403.0
DC155,Applied Language and Translation Studies,,387.0,371.0
DC161,Analytical Science,,489.0,446.0
DC162,Chemical and Pharmaceutical Sciences,,521.0,488.0
DC163,Chemical Sciences General Entry (Undenominated Ent,,,
DC166,Environmental Science and Technology,,399.0,412.0
DC167,Physics with Astronomy,,,434.0
DC168,Genetics and Cell Biology,,510.0,489.0
DC171,Applied Physics,,,402.0
DC173,Physics with Biomedical Sciences,,,402.0
DC175,Physics General Entry (options),,402.0,
DC180,Biological Sciences General Entry (Undenominated E,,,
DC181,Biotechnology,,495.0,476.0
DC190,Electronic and Computer Engineering (with choice of four majors),,413.0,391.0
DC193,Mechatronic Engineering,,411.0,404.0
DC194,Sustainable Systems and Energy,,,
DC195,Mechanical and Manufacturing Engineering,,425.0,401.0
DC197,Biomedical Engineering,,423.0,402.0
DC200,Common Entry into Engineering (Undenominated Entry),,422.0,381.0
DC201,Common Entry into Science (Undenominated Entry),,488.0,454.0
DC202,Sport Science and Health,,498.0,467.0
DC203,Science Education,,435.0,424.0
DC204,Athletic Therapy and Training,,519.0,484.0
DC205,Physical Education with Biology,,531.0,490.0
DC206,Physical Education with Mathematics,,499.0,443.0
DC207,Psychology and Mathematics,,,
DC208,Psychology,,521.0,509.0
DC209,Health and Society,,440.0,419.0
DC210,Psychology and Disruptive Technologies,,,
DC215,General Nursing,,433.0,414.0
DC216,Mental Health Nursing,,403.0,368.0
DC217,Intellectual Disability Nursing,,370.0,347.0
DC218,Children`s and General Nursing (Integrated),,498.0,467.0
DC230,"Economics, Politics and Law",,435.0,400.0
DC231,International Relations,,397.0,387.0
DC232,Law and Society (BCL),,466.0,453.0
DC235,Education and Training - Daytime and Flexible Delivery Mode (full-tim,,309.0,307.0
DC238,Social Sciences and Cultural Innovation,,377.0,358.0
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,430.0,
DC240,"Marketing, Innovation and Technology",,474.0,451.0
DC241,Digital Business and Innovation,,,
DC291,Arts (Joint Honours) - Media Studies,,376.0,349.0
DC292,Arts (Joint Honours) - Law,,403.0,356.0
DC293,Arts (Joint Honours) - International Languages,,377.0,369.0
DC294,Climate and Environmental Sustainability,,,
DC295,Arts (Joint Honours) - Politics,,376.0,348.0
DK710,Business and Management,,120.0,
DK711,Business and Technology,,191.0,
DK712,Digital Marketing and Public Relations,,100.0,
DK721,Computing,,106.0,
DK722,Augmented and Virtual Reality,,144.0,
DK730,Building Surveying,,165.0,
DK731,Architectural Technology,,332.0,
DK732,Construction Management,,120.0,
DK740,Engineering - Electrical and Electronic Systems,,179.0,
DK742,Engineering - Mechanical Engineering,,166.0,
DK744,Engineering - Civil Engineering,,157.0,
DK750,Hospitality Management,,176.0,
DK752,Event Management,,175.0,
DK753,Culinary Arts,,182.0,
DK763,"Sport, Exercise and Enterprise",,233.0,
DK767,Community Youth Work (interview),,240.0,
DK768,Audio and Music Production,,261.0,
DK769,Creative Media,,165.0,
DK770,Theatre & Film Practice,,190.0,
DK771,Musical Theatre (audition),,,
DK781,Science - Bioscience,,328.0,
DK783,Science - Pharmaceutical Science,,317.0,
DK784,Veterinary Nursing,,399.0,
DK810,Accounting and Finance,,305.0,306.0
DK816,Business Studies,,300.0,300.0
DK820,Computing in Games Development,,311.0,307.0
DK821,Computing in Software Development,,302.0,301.0
DK822,Augmented and Virtual Reality,,307.0,
DK830,Building Surveying,,336.0,302.0
DK831,Architectural Technology,,389.0,301.0
DK832,Construction Management,,387.0,300.0
DK843,Engineering (Common Entry),,340.0,303.0
DK844,Mechanical Engineering,,305.0,
DK845,Electrical and Electronic Engineering,,304.0,
DK846,Civil Engineering,,361.0,
DK850,International Tourism Management,,317.0,
DK860,Music (audition),,532.0,
DK861,Arts,,302.0,300.0
DK862,Social Care,,301.0,300.0
DK863,Creative Media,,308.0,300.0
DK864,Film and Television Production,,300.0,300.0
DK865,Audio and Music Production,,301.0,301.0
DK870,General Nursing,,401.0,392.0
DK872,Intellectual Disability Nursing,,336.0,300.0
DK874,Mental Health Nursing,,356.0,356.0
DK876,Early Childhood Studies,,321.0,305.0
DK877,Midwifery,,440.0,
DK880,Health and Physical Activity,,328.0,300.0
DK882,Agriculture (Award options),,310.0,303.0
DK883,Science (Award options),,321.0,300.0
DK884,Sustainable Agriculture,,,
DK885,Agri-Food Production,,,
DK886,Biopharmaceutical Science,,301.0,
DK887,Environmental Science,,330.0,
DL701,Business - Applied Entrepreneurship,,,
DL821,"English, Media and Cultural Studies",,212.0,211.0
DL822,Arts Management,,229.0,209.0
DL823,Business Management,,235.0,260.0
DL825,Applied Psychology,,379.0,349.0
DL826,Visual Communication Design,,855.0,
DL827,Art,,572.0,
DL828,"3D Design, Modelmaking and Digital Art",,506.0,
DL829,Design for Stage and Screen (Costume Design),,593.0,
DL830,Design for Stage and Screen (Makeup Design),,939.0,
DL831,Design for Stage and Screen (Production Design),,781.0,
DL832,Animation,,920.0,
DL833,Photography and Visual Media,,650.0,
DL834,Film and Television Production,,990.0,
DL835,Creative Media Technologies,,,237.0
DL836,Creative Computing,,219.0,217.0
DL837,New Media Studies,,201.0,290.0
DL838,Creative Music Production,,754.0,
DL839,Interaction and User Experience Design,,683.0,
DL840,Digital Marketing,,228.0,
DL841,English and Equality Studies,,276.0,
DL843,Film,,,
DL844,Television,,,
DL845,Design for Film (degree options),,,
DN100,Architecture,,510.0,473.0
DN120,Landscape Architecture,,407.0,353.0
DN130,City Planning and Environmental Policy,,400.0,367.0
DN150,Engineering (Common Entry),,521.0,511.0
DN200,Science (options),,533.0,521.0
DN201,Computer Science (Common Entry),,510.0,488.0
DN230,Actuarial and Financial Studies,,601.0,577.0
DN240,Sustainability,,440.0,
DN250,Agricultural Science (options),,455.0,420.0
DN252,Dairy Business,,410.0,398.0
DN253,Agri - Environmental Sciences,,418.0,403.0
DN261,Food Science,,477.0,434.0
DN262,Human Nutrition,,531.0,493.0
DN271,Forestry,,311.0,303.0
DN272,"Horticulture, Landscape and Sportsturf Management",,282.0,252.0
DN300,Veterinary Medicine - Undergraduate Entry,,589.0,
DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),,,
DN310,Veterinary Nursing,,477.0,441.0
DN400,Medicine - Undergraduate Entry (HPAT required),,736.0,
DN401,Medicine - Graduate Entry (GAMSAT required),,,
DN410,Radiography,,532.0,507.0
DN411,Radiography - Graduate Entry,,,
DN420,Physiotherapy,,577.0,542.0
DN425,Health and Performance Science,,509.0,488.0
DN430,Sport and Exercise Management,,445.0,436.0
DN440,"Biomedical, Health and Life Sciences",,589.0,
DN450,General Nursing,,424.0,398.0
DN451,Children`s and General Nursing (Integrated),,506.0,
DN452,Midwifery,,476.0,409.0
DN453,Mental Health Nursing,,393.0,379.0
DN520,Joint Honours (options),,310.0,336.0
DN530,Humanities (options),,336.0,348.0
DN541,Modern Languages (options),,303.0,348.0
DN600,Law (options),,544.0,
DN610,Business and Law,,545.0,521.0
DN650,Commerce,,521.0,
DN660,Commerce International (options),,511.0,507.0
DN670,Economics and Finance,,613.0,601.0
DN700,Social Sciences (options),,419.0,388.0
DN710,Economics,,498.0,476.0
DN720,Psychology,,522.0,517.0
DN750,Social Policy and Sociology,,378.0,330.0
DS602,Computing and Multimedia (Level 6 - Higher Certificat,,,
DS603,Computing and Multimedia (Level 6 - Certificat,,,
DS701,Business,,,
DS702,Computing and Multimedia (Level 7),,,
DT001,Product Design,,,433.0
DT028,Transport Operations and Technology,,,279.0
DT035,Electrical Services and Energy Management,,,293.0
DT066,Engineering (General Entry),,,400.0
DT101,Architecture (test and interview),,,
DT106,Planning and Environmental Management,,,312.0
DT110,Property Economics (Valuation Surveying),,,367.0
DT111,Quantity Surveying and Construction Economics,,,391.0
DT112,Geographic Science,,,287.0
DT117,Construction Management,,,356.0
DT175,Architectural Technology,,,388.0
DT201,Science (General Entry),,,464.0
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),,,341.0
DT204,Biomedical Science,,,501.0
DT205,Mathematical Sciences,,,315.0
DT206,Biomedical and Molecular Diagnostics,,,473.0
DT211,Computer Science (Infrastructure),,,381.0
DT220,Industrial Mathematics,,,300.0
DT221,Physics with Energy and Environment,,,348.0
DT222,Physics Technology,,,321.0
DT223,Human Nutrition and Dietetics,,,553.0
DT224,Optometry,,,487.0
DT225,Public Health Nutrition,,,440.0
DT227,Science with Nanotechnology,,,312.0
DT228,Computer Science,,,451.0
DT229,Clinical Measurement Science,,,491.0
DT235,Physics with Medical Physics and Bioengineering,,,357.0
DT282,Computer Science (International),,,377.0
DT299,Chemical Sciences with Medicinal Chemistry,,,420.0
DT302,Business Analytics,,,325.0
DT304,E-Commerce in Retailing,,,341.0
DT321,Business and Law,,,462.0
DT341,Marketing,,,400.0
DT343,Retail and Services Management,,,301.0
DT354,Business Computing,,,322.0
DT358,Logistics and Supply Chain Management,,,300.0
DT365,Business and Management,,,440.0
DT366,Accounting and Finance,,,432.0
DT398,Human Resource Management,,,375.0
DT399,Economics and Finance,,,437.0
DT401,International Hospitality Management,,,300.0
DT405,Culinary Science,,,308.0
DT407,Culinary Arts,,,271.0
DT412,Tourism Marketing,,,284.0
DT413,Event Management,,,356.0
DT416,Culinary Entrepreneurship,,,275.0
DT420,Nutraceuticals in Health and Nutrition,,,392.0
DT421,Food Innovation,,,321.0
DT422,Pharmaceutical Healthcare,,,397.0
DT491,Environmental Health,,,343.0
DT501,Music,,,
DT504,Film and Broadcasting,,,443.0
DT506,Commercial Modern Music,,,
DT508,Game Design,,,403.0
DT517,Languages and English Studies,,,326.0
